Fecha,Nombre Sensor,# personas ingresan terminal,# personas salen terminal
08/01/2023 01:01:00 AM,CmCr01,0,0
08/01/2023 01:01:00 AM,CmCr01,1,1
08/01/2023 01:01:00 AM,CmCr01,0,3
08/01/2023 01:01:00 AM,CmCr01,6,0
08/01/2023 01:01:00 AM,CmCr01,6,1
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,9,0
08/01/2023 01:01:00 AM,CmCr01,1,1
08/01/2023 01:01:00 AM,CmCr01,0,4
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,2,1
08/01/2023 01:01:00 AM,CmCr01,0,1
08/01/2023 01:01:00 AM,CmCr01,9,0
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,4,0
08/01/2023 01:01:00 AM,CmCr01,4,0
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,0,1
08/01/2023 01:01:00 AM,CmCr01,3,0
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,5,1
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,2,2
08/01/2023 01:01:00 AM,CmCr01,0,2
08/01/2023 01:01:00 AM,CmCr01,5,2
08/01/2023 01:01:00 AM,CmCr01,3,0
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,6,0
08/01/2023 01:01:00 AM,CmCr01,4,0
08/01/2023 01:01:00 AM,CmCr01,1,1
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,4,0
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,1,1
08/01/2023 01:01:00 AM,CmCr01,0,1
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,0,1
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,0,1
08/01/2023 01:01:00 AM,CmCr01,2,1
08/01/2023 01:01:00 AM,CmCr01,3,2
08/01/2023 01:01:00 AM,CmCr01,0,1
08/01/2023 01:01:00 AM,CmCr01,4,0
08/01/2023 01:01:00 AM,CmCr01,7,1
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,1,1
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,10,2
08/01/2023 01:01:00 AM,CmCr01,18,0
08/01/2023 01:01:00 AM,CmCr01,3,1
08/01/2023 01:01:00 AM,CmCr01,2,0
08/01/2023 01:01:00 AM,CmCr01,6,0
08/01/2023 01:01:00 AM,CmCr01,5,0
08/01/2023 01:01:00 AM,CmCr01,3,0
08/01/2023 01:01:00 AM,CmCr01,3,1
08/01/2023 01:01:00 AM,CmCr01,1,0
08/01/2023 01:01:00 AM,CmCr01,5,2
08/01/2023 01:01:00 AM,CmCr01,13,0
08/01/2023 01:01:00 AM,CmCr01,2,1
08/01/2023 01:01:00 AM,CmCr01,4,2
08/01/2023 01:01:00 AM,CmCr01,5,0
08/01/2023 01:01:00 AM,CmCr01,9,3
08/01/2023 01:01:00 AM,CmCr01,9,3
08/01/2023 01:01:00 AM,CmCr01,10,2
08/01/2023 01:01:00 AM,CmCr01,11,1
08/01/2023 01:01:00 AM,CmCr01,10,2
08/01/2023 01:01:00 AM,CmCr01,3,0
08/01/2023 01:01:00 AM,CmCr01,15,1
08/01/2023 01:01:00 AM,CmCr01,9,1
08/01/2023 01:01:00 AM,CmCr01,16,0
08/01/2023 01:01:00 AM,CmCr01,20,1
08/01/2023 01:01:00 AM,CmCr01,12,3
08/01/2023 01:01:00 AM,CmCr01,10,1
08/01/2023 01:01:00 AM,CmCr01,4,4
08/01/2023 01:01:00 AM,CmCr01,9,1
08/01/2023 01:01:00 AM,CmCr01,4,1
08/01/2023 01:01:00 AM,CmCr01,9,2
08/01/2023 01:01:00 AM,CmCr01,11,1
08/01/2023 01:01:00 AM,CmCr01,10,0
08/01/2023 01:01:00 AM,CmCr01,7,2
08/01/2023 01:01:00 AM,CmCr01,11,1
08/01/2023 01:01:00 AM,CmCr01,3,0
08/01/2023 01:01:00 AM,CmCr01,14,2
08/01/2023 01:01:00 AM,CmCr01,14,2
08/01/2023 01:01:00 AM,CmCr01,12,3
08/01/2023 01:01:00 AM,CmCr01,11,2
08/01/2023 01:01:00 AM,CmCr01,8,1
08/01/2023 01:01:00 AM,CmCr01,13,2
08/01/2023 01:01:00 AM,CmCr01,19,1
08/01/2023 01:01:00 AM,CmCr01,6,4
08/01/2023 01:01:00 AM,CmCr01,8,4
08/01/2023 01:01:00 AM,CmCr01,18,1
08/01/2023 01:01:00 AM,CmCr01,1,2
08/01/2023 01:01:00 AM,CmCr01,10,0
08/01/2023 01:01:00 AM,CmCr01,3,0
